iter	Logloss
0	0.6145438058
1	0.5503607178
2	0.4961228725
3	0.4504110282
4	0.4110299247
5	0.3795116752
6	0.3506239973
7	0.3264845494
8	0.3059753636
9	0.286700483
10	0.2717284938
11	0.2580196054
12	0.2469835118
13	0.2367969622
14	0.2273773629
15	0.2167687552
16	0.2103696115
17	0.2028098624
18	0.1971882847
19	0.1920867266
20	0.1872140285
21	0.1839828709
22	0.1799145726
23	0.1771447318
24	0.1733683777
25	0.1705608913
26	0.1662006487
27	0.1629653277
28	0.1601519557
29	0.1584036582
30	0.1565019117
31	0.1546134186
32	0.1520895604
33	0.149985624
34	0.1476417106
35	0.1453782
36	0.144614345
37	0.1434276472
38	0.141776777
39	0.1398275757
40	0.1387263489
41	0.137727247
42	0.1362880162
43	0.1346452332
44	0.1334136745
45	0.132683269
46	0.1314315796
47	0.1298289708
48	0.1288714382
49	0.1274466705
50	0.1273188564
51	0.1269353812
52	0.1252157157
53	0.1242729732
54	0.1226829856
55	0.1212360055
56	0.1197626386
57	0.1183809771
58	0.1171407536
59	0.1164934976
60	0.1154728263
61	0.1144459752
62	0.1132133048
63	0.1115468052
64	0.1106152671
65	0.1092349243
66	0.1083120074
67	0.1068896811
68	0.1056196703
69	0.1043120248
70	0.1027369472
71	0.1014440264
