iter	Passed	Remaining
0	4	922
1	7	759
2	10	697
3	14	725
4	19	749
5	23	765
6	27	764
7	30	728
8	34	737
9	39	747
10	43	749
11	47	748
12	49	716
13	53	717
14	57	712
15	61	702
16	64	694
17	67	682
18	70	669
19	73	664
20	76	649
21	77	631
22	80	617
23	82	603
24	84	589
25	86	576
26	89	575
27	91	564
28	94	557
29	96	545
30	97	533
31	99	522
32	101	511
33	104	511
34	106	502
35	108	493
36	109	481
37	110	472
38	112	465
39	114	457
40	116	450
41	119	450
42	121	444
43	124	439
44	126	434
45	128	430
46	130	425
47	134	424
48	137	423
49	139	419
50	140	411
51	141	403
52	144	399
53	162	438
54	164	434
55	172	443
56	175	440
57	177	435
58	180	430
59	182	425
60	184	420
61	186	414
62	187	408
63	189	402
64	191	397
65	192	391
66	195	387
67	198	385
68	200	381
69	202	376
70	204	371
71	206	367
