scenario,probability_of_failure,estimated_damage_usd
Scenario_0,0.9971702514257245,333458.26246812526
Scenario_1,0.2926088940396455,419678.8448317508
Scenario_2,0.35778492584176624,362039.1678381839
Scenario_3,0.9416331814852029,266396.6713399421
Scenario_4,0.7111295180030899,32106.780514715152
Scenario_5,0.29563833177963617,467386.0935137206
Scenario_6,0.5810464912839151,355689.878803531
Scenario_7,0.9442295793642561,375473.47679901315
Scenario_8,0.8118131069457786,399393.48200029554
Scenario_9,0.7418327137286597,376394.2787045292
Scenario_10,0.7369963117270224,226146.92040818348
Scenario_11,0.17802032429227033,369474.69635109394
Scenario_12,0.8246812392279365,316263.1260270612
Scenario_13,0.27611863244345813,428468.0034977054
Scenario_14,0.9303666579015295,403205.3095153115
Scenario_15,0.36463999101378297,30273.447408957345
Scenario_16,0.8576603970422565,195654.67426297656
Scenario_17,0.26623349451780143,27010.914570108336
Scenario_18,0.5145269365822405,60016.71313538798
Scenario_19,0.10688529548906056,304691.25378176954
