user_id,role,last_login
U-0,Analyst,2026-09-01T22:18:55.109159
U-1,Admin,2026-09-01T22:18:55.109167
U-2,Admin,2026-09-01T22:18:55.109169
U-3,Viewer,2026-09-01T22:18:55.109170
U-4,Admin,2026-09-01T22:18:55.109171
U-5,Viewer,2026-09-01T22:18:55.109171
U-6,Analyst,2026-09-01T22:18:55.109172
U-7,Admin,2026-09-01T22:18:55.109173
U-8,Analyst,2026-09-01T22:18:55.109174
U-9,Admin,2026-09-01T22:18:55.109175
U-10,Viewer,2026-09-01T22:18:55.109175
U-11,Admin,2026-09-01T22:18:55.109176
U-12,Viewer,2026-09-01T22:18:55.109177
U-13,Analyst,2026-09-01T22:18:55.109207
U-14,Viewer,2026-09-01T22:18:55.109210
U-15,Viewer,2026-09-01T22:18:55.109211
U-16,Analyst,2026-09-01T22:18:55.109212
U-17,Analyst,2026-09-01T22:18:55.109213
U-18,Viewer,2026-09-01T22:18:55.109214
U-19,Admin,2026-09-01T22:18:55.109215
