fpr,tpr,threshold
0.0000,0.0000,1.9312
0.0000,0.1000,0.9847
0.0000,0.2000,0.9721
0.0000,0.3000,0.9588
0.0056,0.4000,0.9412
0.0056,0.5000,0.9267
0.0111,0.5000,0.9103
0.0111,0.6000,0.8924
0.0167,0.6000,0.8756
0.0167,0.7000,0.8591
0.0222,0.7000,0.8412
0.0222,0.8000,0.8203
0.0278,0.8000,0.7987
0.0278,0.9000,0.7714
0.0333,0.9000,0.7421
0.0389,0.9000,0.7098
0.0444,0.9000,0.6732
0.0500,0.9000,0.6301
0.0556,0.9000,0.5841
0.0667,0.9000,0.5312
0.0778,0.9000,0.4743
0.0944,0.9000,0.4102
0.1111,0.9000,0.3412
0.1333,0.9000,0.2687
0.1556,1.0000,0.1923
0.1778,1.0000,0.1312
0.2111,1.0000,0.0892
0.2556,1.0000,0.0543
0.3111,1.0000,0.0287
0.3778,1.0000,0.0134
0.4667,1.0000,0.0059
0.5778,1.0000,0.0021
0.7111,1.0000,0.0007
0.8778,1.0000,0.0002
1.0000,1.0000,0.0000
